Column1,Column2,Column3
id,story,answers
XwlpP5otmI,เคี้ยนแพ้หมากรุกเลยชักปืนขึ้นมายิงจราจนเสียชีวิต,"[{'เคี้ยน':'[5,7]'},{'จรา':'[1]'}]"
1pUXZYyXqQ,จิดาพัฒน์ยิงปืนเล่นน้ำสงกรานต์,[{'จิดาพัฒน์':'[1]'}]
drf7jObOL3,กรัณยพรขับรถเมาแล้วชนรถบัสในสถานีขนส่ง ส่งผลให้หลายคนบาดเจ็บและเสียชีวิต,"[{'กรัณยพร':'[3,7]'}]"
ghD7Mhgjsq,คำนึงภัชทุจริตในการจัดซื้อวัสดุโรงเรียนและปลอมใบเสนอราคา ส่วนกฤดาวัติลักเงินในลิ้นชักบัญชี,"[{'คำนึงภัช':'[6]'},{'กฤดาวัติ':'[2]'}]"
5lfeF2x61n,กอบเกิดขับรถขณะหลับในช่วงกลางวัน ทำให้รถพุ่งข้ามเกาะกลางชนรถสวนทางจนมีผู้เสียชีวิต 1 ราย บาดเจ็บ 2 ราย,"[{'กอบเกิด':'[3,7]'}]"
zgFYbAeF9O,เจษฎาพันธ์ขโมยเงินสดจำนวนมากจากตู้เอทีเอ็มในห้างแล้ววิ่งหนีภายใต้ความมืด,[{'เจษฎาพันธ์':'[2]'}]
enRAy4uO6C,กัณต์พงษ์อ่านข่าวว่าวันนี้มีพายุรุนแรง,[{'กัณต์พงษ์':'[1]'}]
Zklta5lQKO,จันทน์ศรีขับรถชนกลุ่มคนในงานเทศกาลจนมีผู้เสียชีวิต,"[{'จันทน์ศรี':'[3,7]'}]"
M2chvwENMI,จิรัฐิติใช้มีดโจมตีในงานเลี้ยงและขโมยของมีค่าในเวลาเดียวกัน,"[{'จิรัฐิติ':'[2,5]'}]"
akHVq7hmMb,แก้วเกศขับรถเมาแล้วชนกับคนเดินในตรอก ทำให้เกิดอุบัติเหตุและบาดเจ็บ,[{'แก้วเกศ':'[3]'}]
IbHGWjn3xh,คำชวนวางแผนจู่โจมเกตุนภัสหน้าบ้านด้วยอาวุธมีดจนเขาเสียชีวิต,"[{'เกตุนภัส':'[1]'},{'คำชวน':'[5,7]'}]"
5nbuiofUS8,กฤษณ์ชุกรณ์ใช้ปืนข่มขู่และชิงทรัพย์จากพนักงานในร้านกาแฟ ขณะที่งื่อเจ็งบุกรุกเข้าห้องเก็บของและขโมยของมีค่า,"[{'กฤษณ์ชุกรณ์':'[2,5]'},{'งื่อเจ็ง':'[2,4]'}]"
irrEm9fwTJ,กัมมัลยีตปีนขึ้นโครงเหล็กสนามกีฬาชั่วคราวโดยไม่มีอุปกรณ์นิรภัย ทำให้โครงสร้างถล่มใส่งิ้มจูที่อยู่ด้านล่าง,"[{'กัมมัลยีต':'[3]'},{'งิ้มจู':'[1]'}]"
PsDVZFBG8z,ขจิศักดิ์และเจิดจรัสจัดเวิร์กช็อปเรียนรู้เรื่องการเงินให้เด็กมัธยม โดยเน้นการวางแผนใช้เงิน การออม และไม่ยุ่งเกี่ยวกับธุรกรรมผิดกฎหมาย,"[{'ขจิศักดิ์':'[1]'},{'เจิดจรัส':'[1]'}]"
7mqlmR24Tr,กาญจน์ศรีหลอกขายทองปลอมผ่านเฟซบุ๊กแล้วบล็อกลูกค้า,[{'กาญจน์ศรี':'[6]'}]
9zgLYXLtkY,จิณณฤตขับรถโดยถือโทรศัพท์มือถือจนเสียสมาธิ พุ่งชนท้ายรถของคงสิทธิ,"[{'จิณณฤต':'[3]'},{'คงสิทธิ':'[1]'}]"
n9UFB4CBMV,จักสินใช้มีดแทงฆ่าแขกในงานสังสรรค์ ณ โรงแรมหรู จิรัฐติกาญจน์เป็นผู้เข้าร่วมงานบริสุทธิ์,"[{'จักสิน':'[5,7]'},{'จิรัฐติกาญจน์':'[1]'}]"
