id,story,answers,
QhQeeq8InF,งอกเงยใช้อาวุธมีดแทงจิตตมาศจนเสียชีวิตเนื่องจากมีปากเสียงกันเรื่องหนี้สิน,"[{""งอกเงย"": [5,7]}, {""จิตตมาศ"": [1]}]",
TV0w562oCT,ในงานสังสรรค์กลางคืน กัญธิชาลอบบุกรุกเข้าบ้านพักและใช้มีดแทงฆ่าเจ้าของบ้าน โดยที่แขกบริสุทธิ์ต้องตกตะลึง,"[  {    ""กัญธิชา"": [      4,      5,      7    ]  },  {    ""เจ้าของบ้าน"": [      7    ]  },  {    ""แขกบริสุทธิ์"": [      1    ]  }]",
t8xXJs3PpH,คำพิมพ์ขโมยสินค้าจากร้านค้าโดยบุกรุกเข้ามาทางด้านหลังร้าน ขณะที่กมลใจฉ้อโกงเงินจากลูกค้าผ่านระบบออนไลน์และบุกรุกเข้าร้าน,"[  {    ""คำพิมพ์"": [      2,      4    ]  },  {    ""กมลใจ"": [      2,      6,      4    ]  }]",
5ruSIGgdw5,จันทร์ติมาลอบวางแผนปล่อยกระแสไฟฟ้าไว้ที่ลูกบิดประตูห้องน้ำ เมื่อจอนดี้เข้าไปจับ ลูกบิดช็อตทำให้เธอเสียชีวิต,"[  {    ""จันทร์ติมา"": [      5,      7    ]  },  {    ""จอนดี้"": [      7    ]  }]",
AT8NFrfn6i,กิมให้ใช้ปืนข่มขู่คู่แข่งและยิงฆ่าจันทาภ์ในงานเลี้ยง,"[  {    ""กิม"": [5, 7]  },  {    ""จันทาภ์"": [1]  }]",
1HotVJnhxU,ขวัญษาบุกรุกเข้าร้านเครื่องประดับในตอนกลางคืนและขโมยสินค้าราคาแพงออกไป,"[{'ขวัญษา': [2, 4]}]",
0YjcpSCPWD,เจิ้นไทยขับรถเมาแล้วชนกันบนทางด่วน ทำให้รถเสียหายหนัก,"[{""เจิ้นไทย"": [3, 5]}]",
8hbF1crrLy,ขจีนิจแอบย่องเข้าร้านอาหารในช่วงเวลาที่ร้านปิดและขโมยเงินสดจากเครื่องคิดเงินในเวลากลางคืน ขณะที่ขจายใช้มีดโจมตีผู้คนในงานเลี้ยง,"[  {    ""ขจีนิจ"": [      2,      4    ]  },  {    ""ขจาย"": [      5,      7    ]  }]",
t09fdr2NyF,เจตนัตว์ใช้ปืนข่มขู่และขโมยของมีค่าจากตลาดกลางแจ้ง,"[  {    ""เจตนัตว์"": [5, 2, 7]  }]",
b3yyCconyl,ขอบดาวขับรถด้วยความเร็วสูงจนชนคนเสียชีวิตโดยไม่ได้ตั้งใจ ส่วน กรศุทธิ์บุกรุกเข้าไปในบ้านผู้ตายเพื่อลักของมีค่า,"[  {    ""ขอบดาว"": [      3,      7    ]  },  {    ""กรศุทธิ์"": [      2,      4    ]  }]",
QBIdQtcIWw,กัลยานาถขับรถชนบนทางหลวงเพราะขับเร็วเกินกำหนดจนทำให้อีกคันเสียชีวิต,"[{'กัลยานาถ': [3,7]}]",
7b6MW5v716,จเรพรเป็นโค้ชกีฬาที่ได้รับความเคารพจากนักเรียน แต่กลับฆ่ากนิตติยาซึ่งเป็นครูอีกคนที่สงสัยพฤติกรรมของเขา ด้วยการวางยานอนหลับในกาแฟและปาดคอจนเธอเสียชีวิต,"[  {    ""จเรพร"": [      5,      7    ]  },  {    ""กนิตติยา"": [      1    ]  }]",
qZWLnWbvU1,ในยามค่ำคืน กษิธัศขับรถขณะเมาแล้วชนคนเดินเท้าทำให้ได้รับบาดเจ็บและทรัพย์สินเสียหาย ขณะที่เขียนฝันหยิบกระเป๋าสตางค์จากผู้บาดเจ็บหนีไป,"[  {    ""กษิธัศ"": [      3,      7    ]  },  {    ""เขียนฝัน"": [      2    ]  }]",
NB3BYU7VWd,กุลนันต์ร่วมมือกับบุคคลภายในองค์กรเพื่อขโมยข้อมูลสำคัญของบริษัทในช่วงนอกเวลาทำการ,"[{'กุลนันต์': [2]}, {'บุคคลภายในองค์กร': [2]}]",
ZgJy8U7Rs2,ข่าเตียงใส่น้ำแข็งแห้งจำนวนมากในรถของไกรินทร์จนเกิดก๊าซคาร์บอนไดออกไซด์สะสมในรถและเธอเสียชีวิตจากการขาดอากาศหายใจ,"[  {    ""ข่าเตียง"": [      3,      7    ]  },  {    ""ไกรินทร์"": [      1    ]  }]",
8IDBKUKXHq,คมสุชาใช้ชื่อบุคคลมีชื่อเสียงในการจัดกิจกรรมการกุศลปลอมเพื่อระดมทุนเข้ากระเป๋าตัวเอง,[{'คมสุชา': [6]}],
k9yDV7pi6a,กฤตณัฏฐ์ใช้ปืนข่มขู่และชิงทรัพย์จากนักธุรกิจในตลาดกลาง,"[{'กฤตณัฏฐ์': [2, 5, 7]}]",
rZR8rfpXIs,เจนเนตรขับรถเมาแล้วชนรถของจักร์กฤษจนเกิดอุบัติเหตุร้ายแรง ส่งผลให้จักร์กฤษและไขคณินเสียชีวิตในที่เกิดเหตุ,"[  {""เจนเนตร"": [3,7]},  {""จักร์กฤษ"": [7]},  {""ไขคณิน"": [7]}]",
vKzcNrxrQq,คุณจั้วฉ้อโกงลูกค้าผ่านปลอมตัวในระบบธนาคาร ส่งผลให้ผู้ลงทุนสูญเงินเป็นจำนวนมาก,[{'คุณจั้ว': [6]}],
YPZXMahtKQ,เกตศลาฉ้อโกงเงินสนับสนุนจากหน่วยงานรัฐและใช้ความรุนแรงต่อผู้ตรวจสอบ ขณะจตุระที่ไม่เกี่ยวข้องกันแอบบุกรุกขโมยแฟ้มข้อมูล,"[  {    ""เกตศลา"": [6, 5, 7]  },  {    ""จตุระ"": [2, 4]  }]",
u1q2lCDbCa,ฆเนศใช้ปืนข่มขู่คู่แข่งในงานประชุมและยิงฆ่าผู้เข้าร่วมงานที่ต่อต้าน,"[{'ฆเนศ': [5,7]}]",
Dc9wEO2JnA,กีรติกาฉ้อโกงเงินจากระบบโอนเงินโดยปลอมตัวเป็นเจ้าหน้าที่ธนาคาร,[{'กีรติกา': [6]}],
dL8fr5NJu9,เกวฤทธิ์ขับรถเมาประมาทชนในงานเลี้ยงบริษัท,"[{'เกวฤทธิ์': [3,7]}]",
eClqXYrq3F,กัลยูและขจรกฤตย์ขโมยเงินสดจากตู้เอทีเอ็มด้วยการบุกรุกเข้ามาทางด้านหลังห้างในเวลากลางคืน,"[  {""กัลยู"": [2, 4]},  {""ขจรกฤตย์"": [2, 4]}]",
ioOlj3NPdo,จิตตะวดีใช้มีดคมขู่พนักงานธนาคารเพื่อบังคับให้โอนเงินเข้าบัญชีส่วนตัวของเขา,"[{'จิตตะวดี': [5,2]}]",
hPclRG3CLu,กาญจ์ชลิญาวางลังของบนชั้นสูงโดยไม่มั่นคง ทำให้หล่นใส่หัวพนักงาน,"[{'กาญจ์ชลิญ': [3,7]}, {'พนักงาน': [1]}]",
cJTod8Tqqb,คุณาฒัยปลอมเอกสารเพื่อขอเงินสนับสนุนจากรัฐ และลักทรัพย์จากสำนักงาน ขณะที่ขจิตต์ใช้ปืนข่มขู่เจ้าหน้าที่ให้เปิดตู้นิรภัย,"[  {    ""คุณาฒัย"": [      6,      2    ]  },  {    ""ขจิตต์"": [      5    ]  }]",
R222wITcMp,โจแอนน์ขโมยเครื่องประดับจากห้างโดยบุกรุกเข้ามาทางหลังห้างในเวลาปิดทำการ,"[{'โจแอนน์': [2, 4]}]",
wgeGChGepn,กรกันต์ฉ้อโกงประชาชนผ่านแอปมือถือในงานเทศกาล,[{'กรกันต์': [6]}],
uKx10RAePB,กรรณฑริกาใช้หมอนกดหน้าแม่จนขาดอากาศหายใจเสียชีวิต,"[{'กรรณฑริกา': [5,7]}, {'แม่': [1]}]",
4sjbuMYxvA,คงซินไช่ขโมยของมีค่าจากห้างแล้วยิงฆ่าผู้ดูแลทันที,"[  {    ""คงซินไช่"": [2, 5, 7]  }]",
5PxE8sNbkx,งายและกันต์ยศขโมยหนังสือมีค่าจากห้องสมุดแห่งมหาวิทยาลัย โดยแอบบุกรุกเข้าตึกในยามค่ำคืนและวิ่งหนีหลังจากจับภาพผ่านกล้องวงจรปิด,"[  {    ""งาย"": [2, 4]  },  {    ""กันต์ยศ"": [2, 4]  }]",
cs7j6LbgMn,จารนัยเชิญกำนันร่วมเวิร์กช็อปเกี่ยวกับการดูแลสุขภาพจิตสำหรับวัยทำงาน ทั้งสองแลกเปลี่ยนความคิดเห็นกับวิทยากรและช่วยกันเขียนสรุปกิจกรรมส่งให้ผู้จัด,"[  {""จารนัย"": [1]},  {""กำนัน"": [1]}]",
ZuGTXVGYLT,กานต์แก้วใช้มีดแทงแม่บ้านหลายแผลจนเสียชีวิตเพราะเข้าใจผิดว่าเป็นขโมย,"[{""กานต์แก้ว"": [5,7]}, {""แม่บ้าน"": [7]}]",
w8ny1LcQUj,คณาศิษย์ซ่อนงูมีพิษไว้ในกระเป๋าถือของกัณทลัสเมื่อเธอเปิดออก งูกัดจนเธอได้รับพิษและเสียชีวิต,"[  {    ""คณาศิษย์"": [5, 7]  },  {    ""กัณทลัส"": [7]  }]",
yWPf9e97oK,กฤตษฎาใช้มีดแทงเจ้าของร้านจนเสียชีวิตและลักทรัพย์ไป ขณะคมเพ็ชรข่มขู่ลูกค้าไม่ให้แจ้งความ,"[  {    ""กฤตษฎา"": [      5,      7,      2    ]  },  {    ""คมเพ็ชร"": [      3    ]  }]",
GKOJUAIUh2,แก้มอ้นประมาทขับรถบัสชนโรงเรียน ทำให้ทรัพย์สินเสียหาย ขณะที่คุณาภัคชิงทรัพย์กระเป๋าเงินนักเรียน,"[  {    ""แก้มอ้น"": [      3,      7,      2    ]  },  {    ""คุณาภัค"": [      2    ]  }]",
4HZdMEQHHC,จิตงามใช้มีดโจมตีผู้คนในงานเลี้ยง ทำให้กัณญรัตน์บาดเจ็บสาหัส แต่กฤษณ์ธนสรรค์ก็เข้ามากระทืบซ้ำกัณญรัตน์จนเสียชีวิต,"[  {    ""จิตงาม"": [5, 7]  },  {    ""กฤษณ์ธนสรรค์"": [7]  },  {    ""กัณญรัตน์"": [1]  }]",
urm1Ks6pvp,ง้วนเองปลอมแปลงสัญญาการลงทุนเพื่อฉ้อโกงนักลงทุนหลายราย ขณะที่ไกศินใช้อาวุธข่มขู่พนักงานเพื่อเข้าถึงข้อมูลภายใน,"[  {    ""ง้วนเอง"": [      6    ]  },  {    ""ไกศิน"": [      5    ]  }]",
ZXxoDuVhSp,คนน้อยปิดประตูคลังสินค้าไม่สนิท ทำให้ของหล่นลงมา,[{'คนน้อย': [3]}],
CU94AxfwJG,เจียมจิตย์ใช้มีดโจมตีผู้คนในงานเลี้ยงและฉ้อโกงเงินจากลูกค้าผ่านออนไลน์ ขณะที่กันทิพภาบุกรุกเข้าหลังร้านทองและขโมยของมีค่า,"[  {    ""เจียมจิตย์"": [      5,      7,      6    ]  },  {    ""กันทิพภา"": [      2,      4    ]  }]",
e6xPEMoCYA,งักเซียงเข้าบ้านของจำรูนโดยไม่ได้รับอนุญาตและใช้เหล็กฟาดใส่จำรูนจนบาดเจ็บที่ศีรษะ,"[  {    ""งักเซียง"": [4, 5]  },  {    ""จำรูน"": [1]  }]",
oK00i7IpX6,กานต์ภัชสินขับรถเมาแล้วชนกับคนเดินเท้าในพื้นที่ตลาด ทำให้ผู้เดินได้รับบาดเจ็บรุนแรง,"[{""กานต์ภัชสิน"": [3, 5]}, {""คนเดินเท้า"": [1]}]",
ARLQiMqYsv,กาญจนิศใช้ปั่นไฟผิดแรงดันในโรงงาน ทำให้ระบบไฟฟ้าลัดวงจรและระเบิด,"[{'กาญจนิศ': [3,7]}]",
uhfAAGjKFO,ไกรนิธีใช้มีดโจมตีผู้คนในงานเลี้ยงและทำให้คนบาดเจ็บมากมาย ในขณะที่จูณที่ขับรถเมาแล้วชนในงานเทศกาลส่งผลให้กาญจน์ยนาเสียชีวิต,"[  {    ""ไกรนิธี"": [      5    ]  },  {    ""จูณ"": [      3,      7    ]  },  {    ""กาญจน์ยนา"": [      1    ]  }]",
4Xm5l4Dakh,เกศวรรณเดินเล่นในสวนสาธารณะพร้อมกับสุนัข,[{'เกศวรรณ': [1]}],
AqWJT7EVgi,ขาวสะอาดประมาทจนทำถนนชำรุดจนเกิดอุบัติเหตุ ขณะที่กุลนิศดาใช้ข้อมูลนั้นฉ้อโกงบริษัทประกัน,"[  {""ขาวสะอาด"": [3]},  {""กุลนิศดา"": [6]}]",
3c1BbSkeiG,ในงานคอนเสิร์ตกลางแจ้ง จีริศราขับรถเมา ส่งผลให้เกิดอุบัติเหตุร้ายแรงและการเสียชีวิตของผู้บริสุทธิ์,"[{""จีริศรา"": [3, 7]}, {""ผู้บริสุทธิ์"": [1]}]",
3H6y5BwizS,จั๋นแก้วจอดรถขวางหน้าทางลาดโรงพยาบาล ทำให้รถฉุกเฉินเข้าถึงล่าช้าและคนเจ็บเสียชีวิต,"[{'จั๋นแก้ว': [3,7]}]",
JpTshv505v,จิตถนอมประมาทปล่อยให้สารเคมีรั่วไหลในโรงงานจนคนงานบาดเจ็บ ขณะที่กานต์ชนแอบบุกชิงทรัพย์อุปกรณ์ป้องกันภัยจากคลัง,"[  {    ""จิตถนอม"": [      3    ]  },  {    ""กานต์ชน"": [      2,      4    ]  }]",
LMNgUceV6w,กัญฐินีภรณ์ขโมยทองคำจากร้านทองโดยบุกรุกเข้าหลังร้านและใช้ปืนข่มขู่พนักงาน,"[{'กัญฐินีภรณ์': [2, 4, 5]}]",
8C6AOCV1Bs,กัณญาณีวางยาพิษใส่น้ำดื่มของกฤษฏาญขณะทั้งสองนั่งพูดคุยกัน ทำให้กฤษฏาญเสียชีวิต,"[{""กัณญาณี"": [5,7]}, {""กฤษฏาญ"": [1]}]",
WESiUlUXL6,กัสรีป๊ะห์ตั้งใจดึงสายเบรกมือรถของจิรายุรัตน์ขณะรถกำลังวิ่ง ทำให้เกิดอุบัติเหตุ,"[  {    ""กัสรีป๊ะห์"": [5, 7]  },  {    ""จิรายุรัตน์"": [7]  }]",
07Gfj5aLLx,คิดคติเปิดบริษัทรับโอนหนี้ปลอมเพื่อหลอกเอาค่าใช้จ่ายจากลูกหนี้,[{'คิดคติ': [6]}],
RPDyuClGUL,กิตติภาสขโมยของจากร้านค้าท้องถิ่นโดยแอบบุกรุกเข้ามาทางด้านหลังในเวลามืด,"[{'กิตติภาส': [2, 4]}]",
r8XgotFvdK,กัณฑ์พัฒน์ใช้ปืนคุกคามในตลาดกลางแจ้งและยิงผู้ที่ต่อต้านจนเสียชีวิตแม้ในขณะนั้นมีผู้บริสุทธิ์เข้าชมงาน,"[{'กัณฑ์พัฒน์': [5,7]}]",
